AC#,Artist,Title,Date,Medium,Dimensions,Category,,,,,
100061-16,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 6 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
100061-17,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 7 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
100061-18,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 8 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
100061-19,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 9 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
100061-20,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 10 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
661798,"ARTIST UNKNOWN,",Double Music Stand [Victorian],c. 1870,wood,"185 x 46 x 36.3 cm / 72 7/8"" x 18 1/8"" x 14 5/16""",furnishings,,,,,
622601,"ARTIST UNKNOWN,","Dr. J.G. Demeza,  BA, BPaed, Litt D [Superintendent, Sir James Whitney School, 1953-79]",n.d.,oil on canvas,"58.4 x 48.3 cm / 23"" x 19""",portrait,,,,,
101184,"ARTIST UNKNOWN,",Frame,n.d.,mixed media,"overall: 109.5 x 125 cm / 43"" x 49 1/2""; interior: 61 x 75.5 cm / 24"" x 29 3/4""",mixed media,,,,,
101185,"ARTIST UNKNOWN,",Frame,n.d.,mixed media,"overall: 131 x 143 cm / 51 3/4"" x 56""; interior: 87.5 x 100 cm / 34 1/2"" x 39 1/2""",mixed media,,,,,
101186,"ARTIST UNKNOWN,",Frame,n.d.,mixed media,"overall: 83 x 101.5 cm / 32 11/16"" x 40""; interior: 66 x 83 cm / 26"" x 32 1/2""",mixed media,,,,,
100179,"ARTIST UNKNOWN,","Frame [Italian, 19th c.]",n.d.,mixed media,"overall: 164.3 x 141 cm / 64 11/16"" x 55 1/2""; sight: 95.5 x 119 cm / 37 5/8"" x 46 7/8""; verso, inside: 100.7 x 125.3 cm / 40"" x 49 3/8""",mixed media,,,,,
100181,"ARTIST UNKNOWN,","Frame [Italian, 19th c.]",n.d.,mixed media,"overall: 139 x 173 cm / 54 3/4"" x 68 1/8""; verso, inside: 107.7 x 142.4 cm / 42 3/8"" x 56 1/8""",mixed media,,,,,
100182,"ARTIST UNKNOWN,","Frame [Italian, 19th c.]",n.d.,mixed media,n/a,mixed media,,,,,
100183,"ARTIST UNKNOWN,","Frame [Italian, 19th c.]",n.d.,mixed media,"overall: 104.5 x 140.5 cm / 41 1/8"" x 55 5/16""",mixed media,,,,,
100203,"ARTIST UNKNOWN,",Frame [Louis XV style],n.d.,mixed media,"overall: 83.5 x 101.5 cm / 32 7/8"" x 40""; sight: 66 x 84 cm / 26"" x 33 1/8""; verso, inside: 68 x 86 cm / 26 3/4"" x 33 7/8""",mixed media,,,,,
100184,"ARTIST UNKNOWN,","Frame [original G.A. Reid for ""The Evening Star""]",n.d.,wood,"overall: 134.7 x 162.6 cm / 53"" x 64""; inside: 101.7 x 131 cm / 40"" x 51 5/8""",mixed media,,,,,
100180,"ARTIST UNKNOWN,","Frame with mirror [Italian, 19th c.]",n.d.,mixed media,"overall: 135 x 169 cm / 53 1/8"" x 66 1/2""; sight: 90.5 x 124 cm / 35 5/8"" x 48 7/8""; verso, inside: 97 x 130.5 cm / 38 3/16"" x 51 3/8""",mixed media,,,,,
632654,"ARTIST UNKNOWN,","H.R.H. Princess Louise Caroline Alberta, Duchess of Argyle [wife of Governor General, Marquess of Lorne]",c. 1878,lithograph,"64.8 x 50.2 cm / 25 1/2"" x 19 3/4""",portrait,,,,,
661781,"ARTIST UNKNOWN,","Hall Chair [Victorian, ""Gothic"" style]",c. 1900,wood,"118.8 x 50.8 x 45.7 cm / 46 3/4"" x 20"" x 18""",furnishings,,,,,
100178,"ARTIST UNKNOWN,",Imari temple vase [Japanese],n.d.,ceramics,"49.7 x 19 cm / 19 1/2"" x 7 1/2"" dia.",ceramic,,,,,
100064,"ARTIST UNKNOWN,",Jiangsu Vase,n.d.,ceramics,"16.4 x 12.8 x 18.5 cm / 6 1/2"" x 5"" x 7 1/4"" + handles extending 4.5 cm / 1 3/4"" across width",ceramic,,,,,
100060,"ARTIST UNKNOWN,",Late Empire Revival Style Writing Desk [Mowat's Desk],c. 1890,mixed media,"75.6 x 147.5 x 75 cm / 29 3/4"" x 58 1/8"" x 30""",mixed media,,,,,
100122,"ARTIST UNKNOWN,",Light Fixture [Mercury / Hermes],c. 1867,metal,"44 x 16.5 cm / 17 3/8"" x 6 1/2""",furnishings,,,,,
100185,"ARTIST UNKNOWN,",Mirror with ornate frame,n.d.,furniture,"overall: 82 x 112.5 cm / 32 5/16"" x 44 5/16""",furnishings,,,,,
100202,"ARTIST UNKNOWN,",Mirror with ornate frame [Dutch Louis XIII style],n.d.,mixed media,"overall: 51.5 x 61 cm / 20 1/4"" x 24""; sight: 34.5 x 44.8 cm / 13 5/8"" x 17 5/8""; verso, inside: 38.5 x 48.6 cm / 15 1/8"" x 19 1/8""",mixed media,,,,,
101132,"ARTIST UNKNOWN,",Mother and Child,n.d.,lithograph,n/a,work on paper,,,,,
100039,"ARTIST UNKNOWN,",Open Arm Chair [Carolean design],c. 1900,furniture,"139.7 x 68.5 x 54.6 cm / 55"" x 27"" x 22""",furnishings,,,,,
100038,"ARTIST UNKNOWN,","Oriental Rug [Esparta ""Sarouk"", Turkey; blue ground]",c. 1930,furniture,"549 x 368 cm; 216"" x 145"" (""Rughold"" natural: 541 x 366 cm / 213"" x 144"")",furnishings,,,,,
100037,"ARTIST UNKNOWN,","Oriental Rug [Indo Sarouk, green ground]",n.d.,furniture,"10` x 15`7""; 305 x 475 cm",furnishings,,,,,
